16step-seq,"done/help almost",Abstraction,"rhythmical sequencer"
@,help,Abstraction,"Scales a standard slider (ranging from 0 to 127) between min and max."
add%,help,Abstraction,"Adds a certain percentage <int, float> to values <int, float> in left inlet."
alea,done,Abstraction,"random based object"
alea-rhythm,help,Abstraction,"rhythm generator"
anti-bis,done,Abstraction,"Filters out immediate repetitions of integers. Right output sends a bang whenever this occurs."
anti-bis&osc,done/help,Abstraction,"Filters out direct repetitions and when a number has occured the penultimate time"
anti-interval,done,Abstraction,"Filters out a certain interval"
anti-octave,done,Abstraction,"Filters out octaves between two consecutive notes"
anti-octave&prime,done,Abstraction,"Filters out octaves and primes"
anti-osc,done,Abstraction,"Filters out an integer which has occured the penultimate time."
banger,"banger16 done",External,"An object to bang outlets sequentially."
between,done,Abstraction,"random based object"
between-lin,done,Abstraction,"random based object"
between-lin-urn,done,Abstraction,"random based object"
between-log,done,Abstraction,"random based object"
between-log-urn,done,Abstraction,"random based object"
block-bang,help,Abstraction,"Filters out bangs that arrive before a certain time span (""blocking time"") is over."
BPM2ms,done,Abstraction,"Converts beats per minute (BPM) into milliseconds."
brown-melody,done,Abstraction,"Generates a brownian-mouvement-like melody"
brown-rhythm,done,Abstraction,"Generates a brownian-movement-like rhythm"
brownian,done,Abstraction,"random based object"
butfirst,done,Abstraction,"Outputs the input list without its first element."
butlast,done,Abstraction,"Outputs the input list without its last element."
check-octaves,done,Abstraction,"Checks whether an interval list sums up to an octave"
check-row,,Abstraction,"dodecaphonic based object"
choice-rhythm,done,Abstraction,"rhythm generator"
choose-intervals,done,Abstraction,"Chooses a supply between one to five different intervals."
collect,done,Abstraction,"Collects numbers"
contrario,help,Abstraction,"A number <int, float> in left inlet outputs a complimentary number."
cos-slider,done,Abstraction,"Transforms a linear slider into a cosine function."
count-bang,done,Abstraction,"Counts the number of received bangs."
countdown,help?,Abstraction,"countdown object"
cresc-decresc,done,Abstraction,"crescendo / decescendo generator"
crossfade~,done,Abstraction,"Crossfades two input signals according to a sine function which guarantees that loudness of the result is constant."
dB2lin,help,Abstraction,"Converts dB into linear values."
DblBang,,Patch,"Detects single or double bang"
del-fb~,,Abstraction,"Delay line with feedback."
divmod,almost-builtin,External,"divmod is the same as / and % for positive left operands."
dur-from-ED,help,Abstraction,"Calculcats note durations from entry delays (ED) and a duration factor."
ED-rhythm,done,Abstraction,"rhythm generator"
ED-trans,done,Abstraction,"produces a ritardando or an accelerando"
ED2EP,done,Abstraction,"Converts ED (= entry delays) into EP (= entry points)"
first,done,Abstraction,"Outputs the first element of a list."
first-bang,done,Abstraction,"Outputs only the first bang of a stream of bangs"
first-shot,done,Abstraction,"Outputs only the first message of a stream of messages (bangs, ints, floats, symbols, lists) until the right inlet receives a (reset) bang."
frq2note,"done (ftom)",Abstraction,"Converts frequency into a note"
geom,"done, description wrong?",Abstraction,"Int in right inlet outputs the nth member of a geometrical row."
grid-rhythm,done,Abstraction,"rhythm generator"
group,,External,"groups numbers received in succession into a list."
group-rhythm,done,Abstraction,"rhythm generator"
