/bassdrum 0 , /s6 , 0
/bassdrum 0 , /s4 , 0
/bassdrum 0 , /s10 , 0
/bassdrum 0 , /s8 , 0
/bassdrum 0 , /s2 , 0
/bassdrum 0 , /s14 , 0
/bassdrum 0 , /s12 , 0
/bassdrum 0 , /s15 , 0
/bassdrum 0 , /s5 , 127
/bassdrum 0 , /s3 , 0
/bassdrum 0 , /s9 , 127
/bassdrum 0 , /s7 , 0
/bassdrum 0 , /s1 , 127
/bassdrum 0 , /s13 , 127
/bassdrum 0 , /s11 , 0
/bassdrum 0 , /svol , 127
/bassdrum 0 , /s16 , 0
/bassdrum 1 , /s6 , 0
/bassdrum 1 , /s4 , 127
/bassdrum 1 , /s10 , 127
/bassdrum 1 , /s8 , 0
/bassdrum 1 , /s2 , 0
/bassdrum 1 , /s14 , 0
/bassdrum 1 , /s12 , 0
/bassdrum 1 , /s15 , 0
/bassdrum 1 , /s5 , 0
/bassdrum 1 , /s3 , 0
/bassdrum 1 , /s9 , 0
/bassdrum 1 , /s7 , 127
/bassdrum 1 , /s1 , 127
/bassdrum 1 , /s13 , 127
/bassdrum 1 , /s11 , 0
/bassdrum 1 , /s16 , 127
/hihat-learn 0 , /cc , 14 2
/snare 0 , /s6 , 0
/snare 0 , /s4 , 0
/snare 0 , /s10 , 0
/snare 0 , /s8 , 0
/snare 0 , /s2 , 0
/snare 0 , /s14 , 0
/snare 0 , /s12 , 0
/snare 0 , /s15 , 0
/snare 0 , /s5 , 127
/snare 0 , /s3 , 0
/snare 0 , /s9 , 127
/snare 0 , /s7 , 0
/snare 0 , /s1 , 127
/snare 0 , /s13 , 127
/snare 0 , /s11 , 0
/snare 0 , /svol , 48.381
/snare 0 , /s16 , 0
/snare 1 , /s6 , 127
/snare 1 , /s4 , 0
/snare 1 , /s10 , 0
/snare 1 , /s8 , 0
/snare 1 , /s2 , 0
/snare 1 , /s14 , 0
/snare 1 , /s12 , 0
/snare 1 , /s15 , 0
/snare 1 , /s5 , 0
/snare 1 , /s3 , 0
/snare 1 , /s9 , 0
/snare 1 , /s7 , 0
/snare 1 , /s1 , 127
/snare 1 , /s13 , 0
/snare 1 , /s11 , 127
/snare 1 , /svol , 44.3492
/snare 1 , /s16 , 127
/hihat 0 , /s6 , 0
/hihat 0 , /s4 , 0
/hihat 0 , /s10 , 0
/hihat 0 , /s8 , 0
/hihat 0 , /s2 , 0
/hihat 0 , /s14 , 0
/hihat 0 , /s12 , 0
/hihat 0 , /s15 , 127
/hihat 0 , /s5 , 127
/hihat 0 , /s3 , 127
/hihat 0 , /s9 , 127
/hihat 0 , /s7 , 127
/hihat 0 , /s1 , 127
/hihat 0 , /s13 , 127
/hihat 0 , /s11 , 127
/hihat 0 , /svol , 40.3175
/hihat 0 , /s16 , 0
/hihat 1 , /s6 , 127
/hihat 1 , /s4 , 84
/hihat 1 , /s10 , 0
/hihat 1 , /s8 , 86
/hihat 1 , /s2 , 0
/hihat 1 , /s14 , 29.593
/hihat 1 , /s12 , 47
/hihat 1 , /s15 , 103.213
/hihat 1 , /s5 , 0
/hihat 1 , /s3 , 120.952
/hihat 1 , /s9 , 44
/hihat 1 , /s7 , 0
/hihat 1 , /s1 , 0
/hihat 1 , /s13 , 68
/hihat 1 , /s11 , 126
/hihat 1 , /svol , 38.3016
/hihat 1 , /s16 , 33.2619
/clap 0 , /s6 , 127
/clap 0 , /s4 , 0
/clap 0 , /s10 , 0
/clap 0 , /s8 , 0
/clap 0 , /s2 , 0
/clap 0 , /s14 , 0
/clap 0 , /s12 , 0
/clap 0 , /s15 , 0
/clap 0 , /s5 , 0
/clap 0 , /s3 , 0
/clap 0 , /s9 , 0
/clap 0 , /s7 , 0
/clap 0 , /s1 , 127
/clap 0 , /s13 , 0
/clap 0 , /s11 , 127
/clap 0 , /svol , 38.3016
/clap 0 , /s16 , 127
/clap 1 , /s6 , 0
/clap 1 , /s4 , 0
/clap 1 , /s10 , 127
/clap 1 , /s8 , 0
/clap 1 , /s2 , 0
/clap 1 , /s14 , 0
/clap 1 , /s12 , 0
/clap 1 , /s15 , 0
/clap 1 , /s5 , 0
/clap 1 , /s3 , 0
/clap 1 , /s9 , 0
/clap 1 , /s7 , 102.81
/clap 1 , /s1 , 0
/clap 1 , /s13 , 0
/clap 1 , /s11 , 0
/clap 1 , /svol , 34.2698
/clap 1 , /s16 , 0
