myState-2 0 , aFloat , 50
myState-2 0 , aSymbol , help
myState-2 0 , aRadio , 3
myState-2 1 , aFloat , 82
myState-2 1 , aSymbol , me
myState-2 1 , aRadio , 7
TheStateName 0 , aFloat , 95
TheStateName 0 , aSymbol , help
TheStateName 0 , aRadio , 1
TheStateName 1 , aFloat , 60
TheStateName 1 , aSymbol , hi
TheStateName 1 , aRadio , 4
oneState 0 , aFloat , 30
oneState 0 , aSymbol , ImFirst
oneState 0 , aRadio , 4
oneState 1 , aSymbol , hi
anotherState 0 , aFloat , 109
anotherState 0 , aSymbol , IamNumberTwo
anotherState 0 , aRadio , 1
anotherState 1 , aFloat , 144
anotherState 1 , aSymbol , second
anotherState 1 , aRadio , 7
