anotherState 0 , aRadio , 7
anotherState 0 , aFloat , 9
anotherState 0 , aSymbol , zwei
anotherState 1 , aRadio , 0
anotherState 1 , aFloat , 31
anotherState 1 , aSymbol , zweieinhalb
myState-2 0 , aRadio , 3
myState-2 0 , aFloat , 50
myState-2 0 , aSymbol , help
myState-2 1 , aRadio , 7
myState-2 1 , aFloat , 82
myState-2 1 , aSymbol , me
oneState 0 , aRadio , 3
oneState 0 , aFloat , 9
oneState 0 , aSymbol , eins
oneState 1 , aRadio , 7
TheStateName 0 , aRadio , 1
TheStateName 0 , aFloat , 27
TheStateName 0 , aSymbol , help
TheStateName 1 , aRadio , 4
TheStateName 1 , aFloat , 60
TheStateName 1 , aSymbol , hi
