/an-sp 0 , /fade , 100
/an-sp 0 , /s1 , 122.903
/an-sp 0 , /s3 , 36.871
/an-sp 0 , /s2 , 16.3871
/an-sp 0 , /s4 , 24.5806
/chorus 0 , /mod , 76
/chorus 0 , /freq , 0.551181
/chorus 1 , /mod , 49
/chorus 1 , /freq , 3.26772
/an2-seq 0 , /n3 , 13
/an2-seq 0 , /s27 , 0
/an2-seq 0 , /s26 , 0
/an2-seq 0 , /n7 , 13
/an2-seq 0 , /s25 , 0
/an2-seq 0 , /n5 , 13
/an2-seq 0 , /s24 , 0
/an2-seq 0 , /s23 , 0
/an2-seq 0 , /s22 , 0
/an2-seq 0 , /s21 , 0
/an2-seq 0 , /n1 , 13
/an2-seq 0 , /s20 , 0
/an2-seq 0 , /s19 , 0
/an2-seq 0 , /s18 , 0
/an2-seq 0 , /s17 , 0
/an2-seq 0 , /last , 15
/an2-seq 0 , /s13 , 0
/an2-seq 0 , /bpm , 12
/an2-seq 0 , /n27 , 13
/an2-seq 0 , /n25 , 13
/an2-seq 0 , /n31 , 13
/an2-seq 0 , /n29 , 13
/an2-seq 0 , /n19 , 13
/an2-seq 0 , /n17 , 13
/an2-seq 0 , /s , 30
/an2-seq 0 , /n23 , 13
/an2-seq 0 , /s1 , 0
/an2-seq 0 , /svol , 74.5873
/an2-seq 0 , /n21 , 13
/an2-seq 0 , /s3 , 110.873
/an2-seq 0 , /n11 , 13
/an2-seq 0 , /s5 , 0
/an2-seq 0 , /n9 , 13
/an2-seq 0 , /s7 , 112.889
/an2-seq 0 , /n15 , 13
/an2-seq 0 , /s9 , 0
/an2-seq 0 , /n13 , 13
/an2-seq 0 , /s11 , 108.857
/an2-seq 0 , /n4 , 13
/an2-seq 0 , /n2 , 13
/an2-seq 0 , /n8 , 13
/an2-seq 0 , /n6 , 13
/an2-seq 0 , /s16 , 14.1111
/an2-seq 0 , /transp , 0
/an2-seq 0 , /resol , 2.34043
/an2-seq 0 , /s12 , 28.2222
/an2-seq 0 , /s28 , 0
/an2-seq 0 , /s14 , 0
/an2-seq 0 , /s29 , 0
/an2-seq 0 , /s30 , 0
/an2-seq 0 , /s31 , 0
/an2-seq 0 , /n28 , 13
/an2-seq 0 , /s32 , 0
/an2-seq 0 , /n26 , 13
/an2-seq 0 , /n32 , 13
/an2-seq 0 , /n30 , 13
/an2-seq 0 , /n20 , 13
/an2-seq 0 , /n18 , 13
/an2-seq 0 , /s15 , 104.825
/an2-seq 0 , /n24 , 13
/an2-seq 0 , /n22 , 13
/an2-seq 0 , /play , 1
/an2-seq 0 , /s2 , 0
/an2-seq 0 , /n12 , 13
/an2-seq 0 , /s4 , 36.2857
/an2-seq 0 , /n10 , 13
/an2-seq 0 , /s6 , 32.254
/an2-seq 0 , /n16 , 13
/an2-seq 0 , /s8 , 0
/an2-seq 0 , /n14 , 13
/an2-seq 0 , /s10 , 0
/m 0 , /bpm , 12
/m 0 , /start , 1
/samp1-seq 0 , /n3 , 13
/samp1-seq 0 , /s27 , 0
/samp1-seq 0 , /s26 , 0
/samp1-seq 0 , /n7 , 13
/samp1-seq 0 , /s25 , 88.6984
/samp1-seq 0 , /n5 , 13
/samp1-seq 0 , /s24 , 0
/samp1-seq 0 , /s23 , 0
/samp1-seq 0 , /s22 , 0
/samp1-seq 0 , /s21 , 0
/samp1-seq 0 , /n1 , 13
/samp1-seq 0 , /s20 , 80.6349
/samp1-seq 0 , /s19 , 0
/samp1-seq 0 , /s18 , 0
/samp1-seq 0 , /s17 , 0
/samp1-seq 0 , /last , 31
/samp1-seq 0 , /s13 , 0
/samp1-seq 0 , /bpm , 12
/samp1-seq 0 , /n27 , 13
/samp1-seq 0 , /n25 , 13
/samp1-seq 0 , /n31 , 13
/samp1-seq 0 , /n29 , 13
/samp1-seq 0 , /n19 , 13
/samp1-seq 0 , /n17 , 13
/samp1-seq 0 , /s , 30
/samp1-seq 0 , /n23 , 13
/samp1-seq 0 , /s1 , 0
/samp1-seq 0 , /svol , 112.889
/samp1-seq 0 , /n21 , 13
/samp1-seq 0 , /s3 , 0
/samp1-seq 0 , /n11 , 13
/samp1-seq 0 , /s5 , 0
/samp1-seq 0 , /n9 , 13
/samp1-seq 0 , /s7 , 100.794
/samp1-seq 0 , /n15 , 13
/samp1-seq 0 , /s9 , 0
/samp1-seq 0 , /n13 , 13
/samp1-seq 0 , /s11 , 0
/samp1-seq 0 , /n4 , 13
/samp1-seq 0 , /n2 , 13
/samp1-seq 0 , /n8 , 13
/samp1-seq 0 , /n6 , 13
/samp1-seq 0 , /s16 , 0
/samp1-seq 0 , /transp , 0
/samp1-seq 0 , /resol , 2.65957
/samp1-seq 0 , /s12 , 0
/samp1-seq 0 , /s28 , 0
/samp1-seq 0 , /s14 , 58.4603
/samp1-seq 0 , /s29 , 88.6984
/samp1-seq 0 , /s30 , 0
/samp1-seq 0 , /s31 , 0
/samp1-seq 0 , /n28 , 13
/samp1-seq 0 , /s32 , 0
/samp1-seq 0 , /n26 , 13
/samp1-seq 0 , /n32 , 13
/samp1-seq 0 , /n30 , 13
/samp1-seq 0 , /n20 , 13
/samp1-seq 0 , /n18 , 13
/samp1-seq 0 , /s15 , 0
/samp1-seq 0 , /n24 , 13
/samp1-seq 0 , /n22 , 13
/samp1-seq 0 , /play , 1
/samp1-seq 0 , /s2 , 0
/samp1-seq 0 , /n12 , 13
/samp1-seq 0 , /s4 , 116.921
/samp1-seq 0 , /n10 , 13
/samp1-seq 0 , /s6 , 0
/samp1-seq 0 , /n16 , 13
/samp1-seq 0 , /s8 , 0
/samp1-seq 0 , /n14 , 13
/samp1-seq 0 , /s10 , 100.794
/an1-seq 0 , /n3 , 13
/an1-seq 0 , /s27 , 62.4921
/an1-seq 0 , /s26 , 0
/an1-seq 0 , /n7 , 13
/an1-seq 0 , /s25 , 92.7302
/an1-seq 0 , /n5 , 13
/an1-seq 0 , /s24 , 0
/an1-seq 0 , /s23 , 0
/an1-seq 0 , /s22 , 0
/an1-seq 0 , /s21 , 66.5238
/an1-seq 0 , /n1 , 13
/an1-seq 0 , /s20 , 0
/an1-seq 0 , /s19 , 90.7143
/an1-seq 0 , /s18 , 0
/an1-seq 0 , /s17 , 0
/an1-seq 0 , /last , 31
/an1-seq 0 , /s13 , 92.7302
/an1-seq 0 , /bpm , 12
/an1-seq 0 , /n27 , 13
/an1-seq 0 , /n25 , 13
/an1-seq 0 , /n31 , 13
/an1-seq 0 , /n29 , 13
/an1-seq 0 , /n19 , 13
/an1-seq 0 , /n17 , 13
/an1-seq 0 , /s , 30
/an1-seq 0 , /n23 , 13
/an1-seq 0 , /s1 , 102.81
/an1-seq 0 , /svol , 127
/an1-seq 0 , /n21 , 13
/an1-seq 0 , /s3 , 0
/an1-seq 0 , /n11 , 13
/an1-seq 0 , /s5 , 90.7143
/an1-seq 0 , /n9 , 13
/an1-seq 0 , /s7 , 0
/an1-seq 0 , /n15 , 13
/an1-seq 0 , /s9 , 106.841
/an1-seq 0 , /n13 , 13
/an1-seq 0 , /s11 , 0
/an1-seq 0 , /n4 , 13
/an1-seq 0 , /n2 , 13
/an1-seq 0 , /n8 , 13
/an1-seq 0 , /n6 , 13
/an1-seq 0 , /s16 , 0
/an1-seq 0 , /transp , 0
/an1-seq 0 , /resol , 2.44681
/an1-seq 0 , /s12 , 0
/an1-seq 0 , /s28 , 0
/an1-seq 0 , /s14 , 0
/an1-seq 0 , /s29 , 0
/an1-seq 0 , /s30 , 0
/an1-seq 0 , /s31 , 0
/an1-seq 0 , /n28 , 13
/an1-seq 0 , /s32 , 0
/an1-seq 0 , /n26 , 13
/an1-seq 0 , /n32 , 13
/an1-seq 0 , /n30 , 13
/an1-seq 0 , /n20 , 13
/an1-seq 0 , /n18 , 13
/an1-seq 0 , /s15 , 36.2857
/an1-seq 0 , /n24 , 13
/an1-seq 0 , /n22 , 13
/an1-seq 0 , /play , 1
/an1-seq 0 , /s2 , 0
/an1-seq 0 , /n12 , 13
/an1-seq 0 , /s4 , 0
/an1-seq 0 , /n10 , 13
/an1-seq 0 , /s6 , 0
/an1-seq 0 , /n16 , 13
/an1-seq 0 , /s8 , 0
/an1-seq 0 , /n14 , 13
/an1-seq 0 , /s10 , 0
/samp2-seq 0 , /n3 , 13
/samp2-seq 0 , /s27 , 0
/samp2-seq 0 , /s26 , 0
/samp2-seq 0 , /n7 , 13
/samp2-seq 0 , /s25 , 0
/samp2-seq 0 , /n5 , 13
/samp2-seq 0 , /s24 , 0
/samp2-seq 0 , /s23 , 0
/samp2-seq 0 , /s22 , 0
/samp2-seq 0 , /s21 , 0
/samp2-seq 0 , /n1 , 13
/samp2-seq 0 , /s20 , 0
/samp2-seq 0 , /s19 , 106.841
/samp2-seq 0 , /s18 , 0
/samp2-seq 0 , /s17 , 0
/samp2-seq 0 , /last , 31
/samp2-seq 0 , /s13 , 0
/samp2-seq 0 , /bpm , 12
/samp2-seq 0 , /n27 , 13
/samp2-seq 0 , /n25 , 13
/samp2-seq 0 , /n31 , 13
/samp2-seq 0 , /n29 , 13
/samp2-seq 0 , /n19 , 13
/samp2-seq 0 , /n17 , 13
/samp2-seq 0 , /s , 30
/samp2-seq 0 , /n23 , 13
/samp2-seq 0 , /s1 , 0
/samp2-seq 0 , /svol , 127
/samp2-seq 0 , /n21 , 13
/samp2-seq 0 , /s3 , 0
/samp2-seq 0 , /n11 , 13
/samp2-seq 0 , /s5 , 127
/samp2-seq 0 , /n9 , 13
/samp2-seq 0 , /s7 , 0
/samp2-seq 0 , /n15 , 13
/samp2-seq 0 , /s9 , 0
/samp2-seq 0 , /n13 , 13
/samp2-seq 0 , /s11 , 127
/samp2-seq 0 , /n4 , 13
/samp2-seq 0 , /n2 , 13
/samp2-seq 0 , /n8 , 13
/samp2-seq 0 , /n6 , 13
