keyboard_fun I;
193.016 keyboard_fun _;
245.261 keyboard_fun t;
34.8299 keyboard_fun y;
91.4286 keyboard_fun p;
214.785 keyboard_fun e;
177.052 keyboard_fun d;
134.966 keyboard_fun _;
100.136 keyboard_fun t;
47.8912 keyboard_fun h;
172.698 keyboard_fun i;
47.8912 keyboard_fun s;
134.966 keyboard_fun _;
291.701 keyboard_fun m;
7.25624 keyboard_fun e;
301.859 keyboard_fun s;
190.113 keyboard_fun s;
26.1224 keyboard_fun a;
133.515 keyboard_fun g;
74.0136 keyboard_fun e;
232.2 keyboard_fun _;
245.22 keyboard_fun i;
191.565 keyboard_fun n;
441.179 keyboard_fun _;
224.943 keyboard_fun J;
222.041 keyboard_fun u;
153.832 keyboard_fun l;
119.002 keyboard_fun y;
216.236 keyboard_fun .;
303.311 keyboard_fun _;
399.093 keyboard_fun Y;
165.442 keyboard_fun e;
59.5011 keyboard_fun s;
245.8299 keyboard_fun ,;
134.966 keyboard_fun _;
181.406 keyboard_fun I;
222.041 keyboard_fun ';
91.4286 keyboard_fun m;
224.943 keyboard_fun _;
326.531 keyboard_fun u;
13.0612 keyboard_fun p;
224.943 keyboard_fun _;
253.968 keyboard_fun l;
11.61 keyboard_fun a;
203.175 keyboard_fun t;
58.0499 keyboard_fun e;
152.381 keyboard_fun _;
168.345 keyboard_fun a;
29.0249 keyboard_fun g;
229.297 keyboard_fun a;
62.4036 keyboard_fun i;
94.5624 keyboard_fun n;
245.5261 keyboard_fun _;
75.4649 keyboard_fun p;
195.918 keyboard_fun l;
62.4036 keyboard_fun a;
92.8798 keyboard_fun y;
44.9887 keyboard_fun i;
153.832 keyboard_fun n;
62.4036 keyboard_fun g;
152.381 keyboard_fun _;
62.4036 keyboard_fun w;
95.7823 keyboard_fun i;
26.1224 keyboard_fun t;
152.381 keyboard_fun h;
166.893 keyboard_fun _;
142.222 keyboard_fun P;
123.356 keyboard_fun D;
639.592 keyboard_fun .;
366.893 keyboard_fun _;
104.49 keyboard_fun I;
161.088 keyboard_fun _;
14.5125 keyboard_fun w;
200.272 keyboard_fun r;
242.358 keyboard_fun o;
60.9524 keyboard_fun t;
127.71 keyboard_fun e;
162.54 keyboard_fun _;
169.796 keyboard_fun t;
75.4649 keyboard_fun h;
132.063 keyboard_fun i;
32.063 keyboard_fun s;
100.136 keyboard_fun _;
21.7687 keyboard_fun m;
137.868 keyboard_fun e;
261.224 keyboard_fun s;
20.3175 keyboard_fun s;
207.528 keyboard_fun a;
171.247 keyboard_fun g;
36.2812 keyboard_fun e;
188.662 keyboard_fun _;
97.2336 keyboard_fun a;
46.4399 keyboard_fun n;
101.587 keyboard_fun d;
79.8186 keyboard_fun _;
296.054 keyboard_fun s;
59.5011 keyboard_fun e;
198.821 keyboard_fun n;
110.295 keyboard_fun t;
79.8186 keyboard_fun _;
423.764 keyboard_fun k;
92.8798 keyboard_fun e;
29.0249 keyboard_fun y;
79.8186 keyboard_fun _;
242.358 keyboard_fun s;
117.551 keyboard_fun t;
7.25624 keyboard_fun r;
168.345 keyboard_fun o;
341.043 keyboard_fun k;
88.5261 keyboard_fun e;
319.274 keyboard_fun s;
208.98 keyboard_fun _;
36.2812 keyboard_fun t;
120.454 keyboard_fun o;
84.1723 keyboard_fun _;
776.417 keyboard_fun q;
59.5011 keyboard_fun l;
168.345 keyboard_fun i;
47.8912 keyboard_fun s;
541.315 keyboard_fun t;
210.431 keyboard_fun _;
30.4762 keyboard_fun a;
126.259 keyboard_fun n;
92.8798 keyboard_fun d;
79.8186 keyboard_fun _;
236.553 keyboard_fun n;
33.3787 keyboard_fun o;
71.1111 keyboard_fun w;
79.8186 keyboard_fun _;
220.59 keyboard_fun P;
126.259 keyboard_fun D;
217.687 keyboard_fun _;
208.98 keyboard_fun i;
43.5374 keyboard_fun s;
79.8186 keyboard_fun _;
84.1723 keyboard_fun r;
208.98 keyboard_fun e;
211.882 keyboard_fun -;
285.896 keyboard_fun w;
113.197 keyboard_fun r;
146.576 keyboard_fun i;
134.966 keyboard_fun t;
53.6961 keyboard_fun i;
116.1 keyboard_fun n;
34.8299 keyboard_fun g;
137.868 keyboard_fun _;
39.1837 keyboard_fun t;
159.637 keyboard_fun h;
24.6712 keyboard_fun i;
165.442 keyboard_fun s;
137.868 keyboard_fun _;
2.90249 keyboard_fun m;
265.578 keyboard_fun e;
294.603 keyboard_fun s;
410.703 keyboard_fun s;
47.8912 keyboard_fun a;
377.324 keyboard_fun g;
81.2698 keyboard_fun e;
240.907 keyboard_fun _;
161.088 keyboard_fun f;
24.6712 keyboard_fun o;
95.7823 keyboard_fun r;
68.2086 keyboard_fun _;
29.0249 keyboard_fun m;
203.175 keyboard_fun e;
88.5261 keyboard_fun _;
37.7324 keyboard_fun o;
242.358 keyboard_fun n;
89.9773 keyboard_fun _;
214.785 keyboard_fun y;
39.1837 keyboard_fun o;
71.1111 keyboard_fun u;
33.3787 keyboard_fun r;
142.222 keyboard_fun _;
39.1837 keyboard_fun c;
245.261 keyboard_fun o;
50.7937 keyboard_fun m;
119.002 keyboard_fun p;
72.5624 keyboard_fun u;
195.918 keyboard_fun t;
55.1474 keyboard_fun e;
74.0136 keyboard_fun r;
142.222 keyboard_fun _;
252.517 keyboard_fun s;
155.283 keyboard_fun c;
37.7324 keyboard_fun r;
206.077 keyboard_fun e;
219.138 keyboard_fun e;
132.063 keyboard_fun n;
137.868 keyboard_fun .;
559.637 keyboard_fun _;
588.662 keyboard_fun _;
530.612 keyboard_fun D;
56.5986 keyboard_fun o;
220.59 keyboard_fun n;
168.345 keyboard_fun ';
220.59 keyboard_fun  t;
220.59 keyboard_fun _;
161.088 keyboard_fun w;
121.905 keyboard_fun o;
100.136 keyboard_fun r;
161.088 keyboard_fun r;
2.90249 keyboard_fun y;
119.002 keyboard_fun _;
34.8299 keyboard_fun i;
278.639 keyboard_fun t;
220.59 keyboard_fun ';
94.3311 keyboard_fun s;
193.016 keyboard_fun _;
249.615 keyboard_fun n;
44.9887 keyboard_fun o;
104.49 keyboard_fun t;
113.197 keyboard_fun _;
2.90249 keyboard_fun a;
113.197 keyboard_fun _;
238.005 keyboard_fun l;
44.9887 keyboard_fun o;
146.576 keyboard_fun n;
177.052 keyboard_fun g;
105.941 keyboard_fun _;
159.637 keyboard_fun m;
114.649 keyboard_fun e;
211.882 keyboard_fun s;
216.236 keyboard_fun s;
185.76 keyboard_fun a;
76.9161 keyboard_fun g;
17.415 keyboard_fun e;
294.603 keyboard_fun .;
528.254 keyboard_fun .;
827.211 keyboard_fun .;
24.6712 keyboard_fun i;
669.025 keyboard_fun t;
207.528 keyboard_fun ';
110.295 keyboard_fun s;
105.941 keyboard_fun _;
303.311 keyboard_fun a;
529.705 keyboard_fun l;
129.161 keyboard_fun m;
34.8299 keyboard_fun o;
108.844 keyboard_fun s;
139.32 keyboard_fun t;
150.93 keyboard_fun _;
15.9637 keyboard_fun o;
140.771 keyboard_fun v;
63.8549 keyboard_fun e;
216.236 keyboard_fun r;
203.175 keyboard_fun .;
737.234 keyboard_fun _;
1034.74 keyboard_fun I;
185.76 keyboard_fun _;
169.796 keyboard_fun h;
40.6349 keyboard_fun a;
101.587 keyboard_fun v;
60.9524 keyboard_fun e;
177.052 keyboard_fun _;
39.1837 keyboard_fun o;
240.907 keyboard_fun n;
62.4036 keyboard_fun l;
179.955 keyboard_fun y;
84.1723 keyboard_fun _;
60.9524 keyboard_fun o;
179.955 keyboard_fun n;
79.8186 keyboard_fun e;
84.1723 keyboard_fun _;
232.2 keyboard_fun m;
15.9637 keyboard_fun o;
137.868 keyboard_fun r;
58.0499 keyboard_fun e;
84.1723 keyboard_fun _;
26.1224 keyboard_fun t;
172.698 keyboard_fun h;
55.1474 keyboard_fun i;
174.15 keyboard_fun n;
97.2336 keyboard_fun g;
95.7823 keyboard_fun _;
75.4649 keyboard_fun t;
